City mpg,Highway mpg,Horsepower,Torque,label
36,40,166,154,True
31,37,122,128,True
31,37,122,128,True
35,40,166,154,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
21,22,332,367,True
21,22,332,367,True
27,32,302,258,True
17,24,455,515,True
17,24,455,515,True
17,24,455,515,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
21,22,332,367,True
21,22,332,367,True
21,22,332,367,True
21,22,332,367,True
20,24,380,427,True
26,34,164,159,True
17,23,242,242,True
20,23,332,367,True
20,23,332,367,True
21,22,332,367,True
21,22,332,367,True
20,223,332,367,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
21,22,332,367,True
21,22,332,367,True
21,22,332,367,True
21,22,332,367,True
21,22,332,367,True
21,22,332,367,True
20,20,332,367,True
20,20,332,367,True
25,36,182,172,True
25,36,182,172,True
25,36,182,172,True
25,36,182,172,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
21,22,332,367,True
21,22,332,367,True
21,22,332,367,True
21,22,332,367,True
20,24,380,425,True
17,24,288,270,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
20,23,332,367,True
31,37,122,128,True
31,37,122,128,True
16,22,303,262,False
18,25,412,390,False
23,36,265,425,False
27,35,121,114,False
17,21,285,260,False
12,17,302,278,False
15,20,195,260,False
10,14,302,305,False
28,34,110,106,False
18,26,304,273,False
26,34,107,111,False
11,15,503,465,False
20,29,210,221,False
15,22,385,380,False
18,28,230,200,False
17,25,263,249,False
25,34,156,144,False
18,27,290,264,False
11,15,255,350,False
11,15,255,350,False
18,25,256,247,False
15,21,315,338,False
21,28,176,168,False
16,22,235,236,False
10,14,310,365,False
19,27,269,246,False
21,29,260,260,False
19,29,271,251,False
14,20,292,320,False
21,28,158,140,False
18,25,185,190,False
23,33,175,172,False
14,19,300,320,False
20,27,211,258,False
15,20,195,260,False
13,17,381,401,False
12,17,317,385,False
18,25,256,247,False
18,27,271,254,False
17,26,412,390,False
22,35,138,123,False
15,21,315,335,False
15,21,510,461,False
18,29,323,278,False
17,25,230,200,False
22,26,171,171,False
21,30,160,157,False
14,21,283,260,False
10,16,352,382,False
19,27,210,221,False
15,19,236,266,False
19,27,330,273,False
17,25,251,259,False
17,23,242,242,False
29,40,148,131,False
15,20,195,260,False
16,26,430,424,False
17,24,264,222,False
15,22,510,461,False
13,18,403,417,False
12,18,510,612,False
15,22,266,288,False
20,29,182,172,False
