"Geography","2017","2018","2019","2020","2021"
"St. John's (CY), Newfoundland and Labrador","111,644","111,437","111,810","112,000","112,063"
"Conception Bay South (T), Newfoundland and Labrador","26,818","26,740","27,182","27,282","27,345"
"Mount Pearl (CY), Newfoundland and Labrador","23,661","23,622","23,079","23,006","22,672"
"Paradise (T), Newfoundland and Labrador","21,950","21,788","22,698","22,936","23,180"
"Corner Brook (CY), Newfoundland and Labrador","20,127","20,037","19,572","19,251","19,037"
"Grand Falls-Windsor (T), Newfoundland and Labrador","14,390","14,326","14,172","14,078","14,054"
"Gander (T), Newfoundland and Labrador","11,897","11,799","11,960","12,032","12,064"
"Portugal Cove-St. Philip's (T), Newfoundland and Labrador","8,332","8,300","8,510","8,557","8,888"
"Happy Valley-Goose Bay (T), Newfoundland and Labrador","8,319","8,268","8,273","8,155","8,151"
"Torbay (T), Newfoundland and Labrador","8,065","8,020","8,117","8,128","8,099"
"Labrador City (T), Newfoundland and Labrador","7,363","7,331","7,219","7,362","7,474"
"Stephenville (T), Newfoundland and Labrador","6,682","6,549","6,556","6,520","6,535"
"Clarenville (T), Newfoundland and Labrador","6,334","6,218","6,442","6,753","6,939"
"Bay Roberts (T), Newfoundland and Labrador","6,139","6,136","6,060","6,037","6,047"
"Marystown (T), Newfoundland and Labrador","5,299","5,174","5,185","5,078","5,005"
"Deer Lake (T), Newfoundland and Labrador","5,338","5,327","5,334","5,283","5,229"
"Carbonear (T), Newfoundland and Labrador","4,949","4,963","4,769","4,724","4,637"
"Channel-Port aux Basques (T), Newfoundland and Labrador","4,046","3,989","4,002","3,925","3,900"
"Pasadena (T), Newfoundland and Labrador","3,666","3,646","3,765","3,783","3,896"
"Placentia (T), Newfoundland and Labrador","3,554","3,569","3,435","3,390","3,313"
"Bonavista (T), Newfoundland and Labrador","3,483","3,454","3,421","3,313","3,251"
"Lewisporte (T), Newfoundland and Labrador","3,415","3,366","3,359","3,333","3,319"
"Bishop's Falls (T), Newfoundland and Labrador","3,205","3,201","3,035","3,029","3,036"
