accession,definition,organism,taxid,length
WP_013173465.1,glycerol kinase,[Bacillus] selenitireducens,85683,506
WP_007713993.1,glycerol kinase,[Clostridium] asparagiforme,333367,498
WP_002571200.1,glycerol kinase,[Clostridium] bolteae,208479,498
WP_015924549.1,glycerol kinase,[Clostridium] cellulolyticum,1521,501
WP_015926010.1,glycerol kinase,[Clostridium] cellulolyticum,1521,498
WP_006439122.1,glycerol kinase,[Clostridium] hiranonis,89152,498
WP_002608752.1,glycerol kinase,[Clostridium] innocuum,1522,493
WP_003529055.1,glycerol kinase,[Clostridium] leptum,1535,495
WP_006353593.1,glycerol kinase,[Clostridium] methylpentosum,84026,497
WP_004618871.1,glycerol kinase,[Clostridium] papyrosolvens,29362,498
WP_020817235.1,glycerol kinase,[Clostridium] papyrosolvens,29362,498
WP_013273701.1,glycerol kinase,[Clostridium] saccharolyticum,84030,498
WP_013274664.1,glycerol kinase,[Clostridium] saccharolyticum,84030,499
WP_009248846.1,glycerol kinase,[Clostridium] scindens,29347,499
WP_020073594.1,glycerol kinase,[Clostridium] sporosphaeroides,1549,496
WP_015360345.1,glycerol kinase,[Clostridium] stercorarium,1510,497
WP_003502860.1,glycerol kinase,[Clostridium] symbiosum,1512,498
WP_003511037.1,glycerol kinase,[Clostridium] symbiosum,1512,498
WP_004622810.1,glycerol kinase,[Clostridium] termitidis,29371,517
WP_013364145.1,glycerol kinase,[Enterobacter] lignolyticus,1334193,502
WP_004604029.1,glycerol kinase,[Eubacterium] cellulosolvens,29322,501
WP_012740414.1,glycerol kinase,[Eubacterium] eligens,39485,496
WP_005343650.1,glycerol kinase GlpK,[Eubacterium] hallii,39488,495
WP_005344490.1,glycerol kinase,[Eubacterium] hallii,39488,494
WP_006000044.1,glycerol kinase,[Eubacterium] infirmum,56774,497
WP_012743409.1,glycerol kinase,[Eubacterium] rectale,39491,498
WP_005364754.1,glycerol kinase,[Eubacterium] yurii,39498,501
WP_005712042.1,glycerol kinase,[Haemophilus] parasuis,738,502
WP_015939600.1,glycerol kinase,[Haemophilus] parasuis,738,502
WP_010481306.1,glycerol kinase,[Pseudomonas] geniculata,86188,499
WP_004845215.1,glycerol kinase,[Ruminococcus] torques,33039,504
WP_004800582.1,glycerol kinase,Absiella dolichum,31971,493
WP_018135657.1,glycerol kinase,Acaricomes phytoseiuli,291968,507
WP_013362164.1,glycerol kinase,Acetoanaerobium sticklandii,1511,499
WP_014355299.1,glycerol kinase,Acetobacterium woodii,33952,495
WP_014355643.1,glycerol kinase,Acetobacterium woodii,33952,501
WP_014355664.1,glycerol kinase,Acetobacterium woodii,33952,496
WP_014356050.1,glycerol kinase GlpK,Acetobacterium woodii,33952,495
WP_014356707.1,glycerol kinase,Acetobacterium woodii,33952,505
WP_014356711.1,glycerol kinase,Acetobacterium woodii,33952,501
WP_014807545.1,glycerol kinase,Acetomicrobium mobile,97477,503
WP_004099131.1,glycerol kinase,Acetonema longum,2374,498
WP_006386932.1,glycerol kinase,Achromobacter,222,507
WP_008165359.1,glycerol kinase,Achromobacter arsenitoxydans,1147684,508
WP_006392678.1,glycerol kinase,Achromobacter insuavis,1287735,507
WP_006217168.1,glycerol kinase,Achromobacter piechaudii,72556,516
WP_006228001.1,glycerol kinase,Achromobacter piechaudii,72556,508
WP_015798310.1,glycerol kinase,Acidimicrobium ferrooxidans,53635,497
WP_007424080.1,glycerol kinase,Acidiphilium,522,499
WP_013640795.1,glycerol kinase,Acidiphilium multivorum,62140,499
WP_015072019.1,glycerol kinase,Acidipropionibacterium acidipropionici,1748,509
WP_010640977.1,glycerol kinase,Acidithiobacillus thiooxidans,930,499
WP_020722088.1,glycerol kinase,Acidobacteriaceae bacterium KBS 96,1267535,489
WP_008494847.1,glycerol kinase,Acidocella,50709,499
WP_013593061.1,glycerol kinase,Acidovorax avenae,80867,506
WP_019701401.1,glycerol kinase,Acidovorax avenae,80867,506
WP_011793777.1,glycerol kinase,Acidovorax citrulli,80869,506
WP_005793613.1,glycerol kinase,Acidovorax delafieldii,47920,497
WP_012655434.1,glycerol kinase,Acidovorax ebreus,721785,498
WP_010466352.1,glycerol kinase,Acidovorax radicis,758826,497
WP_007861687.1,glycerol kinase,Acidovorax sp. CF316,1144317,497
WP_011803844.1,glycerol kinase,Acidovorax sp. JS42,232721,498
WP_015016028.1,glycerol kinase,Acidovorax sp. KKS102,358220,497
WP_020227942.1,glycerol kinase,Acidovorax sp. MR-S7,1268622,496
WP_004279291.1,glycerol kinase,Acinetobacter,469,494
WP_004646148.1,glycerol kinase,Acinetobacter,469,494
WP_004652021.1,glycerol kinase,Acinetobacter,469,504
WP_004663369.1,glycerol kinase,Acinetobacter,469,504
WP_004681481.1,glycerol kinase,Acinetobacter,469,502
WP_004699649.1,glycerol kinase,Acinetobacter,469,502
WP_004760975.1,glycerol kinase,Acinetobacter,469,502
WP_004783217.1,glycerol kinase,Acinetobacter,469,494
WP_004921999.1,glycerol kinase,Acinetobacter,469,495
WP_004984334.1,glycerol kinase,Acinetobacter,469,494
WP_005018953.1,glycerol kinase,Acinetobacter,469,495
WP_005027454.1,glycerol kinase,Acinetobacter,469,495
WP_005067618.1,glycerol kinase,Acinetobacter,469,502
WP_005081717.1,glycerol kinase,Acinetobacter,469,504
WP_005144845.1,glycerol kinase,Acinetobacter,469,504
WP_005202079.1,glycerol kinase,Acinetobacter,469,504
WP_005231833.1,glycerol kinase,Acinetobacter,469,504
WP_005243524.1,glycerol kinase,Acinetobacter,469,504
WP_005251174.1,glycerol kinase,Acinetobacter,469,494
WP_005267342.1,glycerol kinase,Acinetobacter,469,494
WP_005406697.1,glycerol kinase,Acinetobacter,469,495
WP_007481743.1,glycerol kinase,Acinetobacter,469,504
WP_009585923.1,glycerol kinase,Acinetobacter,469,493
WP_017385778.1,glycerol kinase,Acinetobacter,469,502
WP_017387801.1,glycerol kinase,Acinetobacter,469,502
WP_019838356.1,glycerol kinase,Acinetobacter,469,494
WP_000063769.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063770.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063771.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063772.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063773.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063774.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063775.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063776.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063778.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063781.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063782.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063783.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063784.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_000063786.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_002133046.1,glycerol kinase,Acinetobacter baumannii,470,502
WP_005055194.1,glycerol kinase,Acinetobacter beijerinckii,262668,504
WP_005062914.1,glycerol kinase,Acinetobacter beijerinckii,262668,504
WP_004829750.1,glycerol kinase,Acinetobacter bereziniae,106648,493
WP_005033341.1,glycerol kinase,Acinetobacter bereziniae,106648,493
WP_004651070.1,glycerol kinase,Acinetobacter bohemicus,1435036,494
WP_005011699.1,glycerol kinase,Acinetobacter bouvetii,202951,494
WP_004903197.1,glycerol kinase,Acinetobacter brisouii,396323,495
WP_016137270.1,glycerol kinase,Acinetobacter calcoaceticus,471,502
WP_017390068.1,glycerol kinase,Acinetobacter calcoaceticus,471,502
WP_017391187.1,glycerol kinase,Acinetobacter calcoaceticus,471,502
WP_000063779.1,glycerol kinase,Acinetobacter calcoaceticus/baumannii complex,909768,502
WP_000063780.1,glycerol kinase,Acinetobacter calcoaceticus/baumannii complex,909768,502
WP_002048566.1,glycerol kinase,Acinetobacter calcoaceticus/baumannii complex,909768,502
WP_002115540.1,glycerol kinase,Acinetobacter calcoaceticus/baumannii complex,909768,502
WP_004885534.1,glycerol kinase,Acinetobacter calcoaceticus/baumannii complex,909768,502
WP_017394280.1,glycerol kinase,Acinetobacter calcoaceticus/baumannii complex,909768,502
WP_017480494.1,glycerol kinase,Acinetobacter calcoaceticus/baumannii complex,909768,502
WP_004862903.1,glycerol kinase,Acinetobacter gerneri,202952,494
WP_004723625.1,glycerol kinase,Acinetobacter guillouiae,106649,493
WP_004817514.1,glycerol kinase,Acinetobacter guillouiae,106649,493
WP_016541215.1,glycerol kinase,Acinetobacter gyllenbergii,134534,504
WP_004638301.1,glycerol kinase,Acinetobacter haemolyticus,29430,504
WP_017395622.1,glycerol kinase,Acinetobacter haemolyticus,29430,504
WP_016659445.1,glycerol kinase,Acinetobacter indicus,756892,494
